USE_LICENSE_URL,GUID,SCIENTIFIC_NAME,COORDINATEUNCERTAINTYINMETERS,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_LOCALITY,VERBATIM_DATE,PARTDETAIL,DEC_LAT,DEC_LONG
"http://creativecommons.org/publicdomain/zero/1.0/","KNWR:Ento:10972","Arthropoda","12","United States","Alaska","Soldotna, forest 610m southweast of Nordic Lake, Slikok watershed project site SK22, east half of plot","USA: Alaska, Soldotna, forest 610m southweast of Nordic Lake, Slikok watershed project site SK22, east half of plot","8/9/2016","[{""ID"":""26060708"",""SF"":"""",""PN"":""whole organism (fluid-preserved)"",""LC"":""1"",""DP"":""on loan"",""CD"":""condition not assessed"",""BC"":""UAM100185700"",""CP"":""[ KNWRC3361 ] Research and Testing Laboratory (institution):[ KNWRC3527 ] KNWRC3527 (box):[ KNWRC3521 ] KNWRC3521 (bag):[ UAM100185700 ] UAM100185700 (tag)"",""RK"":"""",""PA"":[]}]","60.4413472900","-151.0876126000"
"http://creativecommons.org/publicdomain/zero/1.0/","KNWR:Ento:10953","Arthropoda","12","United States","Alaska","Soldotna, forest between Raven Ridge Trail and Central Peninsula landfill, Slikok watershed project site MG35, west half of plot","USA: Alaska, Soldotna, forest between Raven Ridge Trail and Central Peninsula landfill, Slikok watershed project site MG35, west half of plot","7/26/2016","[{""ID"":""26060669"",""SF"":"""",""PN"":""whole organism (fluid-preserved)"",""LC"":""1"",""DP"":""on loan"",""CD"":""condition not assessed"",""BC"":""UAM100185750"",""CP"":""[ KNWRC3361 ] Research and Testing Laboratory (institution):[ KNWRC3529 ] KNWRC3529 (box):[ KNWRC3376 ] KNWRC3376 (bag):[ UAM100185750 ] UAM100185750 (tag)"",""RK"":"""",""PA"":[]}]","60.4415429700","-151.0967203000"
"http://creativecommons.org/publicdomain/zero/1.0/","KNWR:Ento:10980","Arthropoda","12","United States","Alaska","Soldotna, Ski Hill Road, Centennial Trail north of Headquarters Lake, Slikok watershed project site MG02, west half of plot","USA: Alaska, Soldotna, Ski Hill Road, Centennial Trail north of Headquarters Lake, Slikok watershed project site MG02, west half of plot","7/19/2016","[{""ID"":""26060724"",""SF"":"""",""PN"":""whole organism (fluid-preserved)"",""LC"":""1"",""DP"":""being processed"",""CD"":""condition not assessed"",""BC"":"""",""CP"":"""",""RK"":"""",""PA"":[]}]","60.4675531700","-151.0578677000"
"http://creativecommons.org/publicdomain/zero/1.0/","KNWR:Ento:10975","Arthropoda","12","United States","Alaska","Soldotna, forest 880m southeast of Nordic Lake, Slikok watershed project site SK23, west half of plot","USA: Alaska, Soldotna, forest 880m southeast of Nordic Lake, Slikok watershed project site SK23, west half of plot","8/3/2016","[{""ID"":""26060714"",""SF"":"""",""PN"":""whole organism (fluid-preserved)"",""LC"":""1"",""DP"":""on loan"",""CD"":""condition not assessed"",""BC"":""UAM100185708"",""CP"":""[ KNWRC3361 ] Research and Testing Laboratory (institution):[ KNWRC3527 ] KNWRC3527 (box):[ KNWRC3520 ] KNWRC3520 (bag):[ UAM100185708 ] UAM100185708 (tag)"",""RK"":"""",""PA"":[]}]","60.4409541000","-151.0693975000"
"http://creativecommons.org/publicdomain/zero/1.0/","KNWR:Ento:10937","Arthropoda","12","United States","Alaska","Soldotna, forest 120m east of Nordic Lake, Slikok watershed project site MG24, west half of plot","USA: Alaska, Soldotna, forest 120m east of Nordic Lake, Slikok watershed project site MG24, west half of plot","6/16/2016","[{""ID"":""25962002"",""SF"":"""",""PN"":""whole organism (fluid-preserved)"",""LC"":""1"",""DP"":""being processed"",""CD"":""condition not assessed"",""BC"":""UAM100185634"",""CP"":""[ KNWRC0 ] Kenai National Wildlife Refuge (institution):[ KNWRC1 ] Biology Laboratory (room):[ KNWRC175 ] KNWRC175 (freezer):[ KNWRC3375 ] KNWRC3375 (unit tray):[ UAM100185634 ] UAM100185634 (tag)"",""RK"":"""",""PA"":[]}]","60.4500833200","-151.0777030000"
"http://creativecommons.org/publicdomain/zero/1.0/","KNWR:Ento:10925","Arthropoda","12","United States","Alaska","Soldotna, Ski Hill Road, off of Howling Hill Trail, Slikok watershed project site MG17, west half of plot","USA: Alaska, Soldotna, Ski Hill Road, off of Howling Hill Trail, Slikok watershed project site MG17, west half of plot","6/14/2016","[{""ID"":""25961978"",""SF"":"""",""PN"":""whole organism (fluid-preserved)"",""LC"":""1"",""DP"":""being processed"",""CD"":""condition not assessed"",""BC"":""UAM100185645"",""CP"":""[ KNWRC0 ] Kenai National Wildlife Refuge (institution):[ KNWRC1 ] Biology Laboratory (room):[ KNWRC175 ] KNWRC175 (freezer):[ KNWRC3375 ] KNWRC3375 (unit tray):[ UAM100185645 ] UAM100185645 (tag)"",""RK"":"""",""PA"":[]}]","60.4547458500","-151.0864131000"
"http://creativecommons.org/publicdomain/zero/1.0/","KNWR:Ento:10892","Arthropoda","12","United States","Alaska","Soldotna, forest 610m southweast of Nordic Lake, Slikok watershed project site SK22, west half of plot","USA: Alaska, Soldotna, forest 610m southweast of Nordic Lake, Slikok watershed project site SK22, west half of plot","6/15/2016","[{""ID"":""25961912"",""SF"":"""",""PN"":""whole organism (fluid-preserved)"",""LC"":""1"",""DP"":""on loan"",""CD"":""condition not assessed"",""BC"":""UAM100185682"",""CP"":""[ KNWRC3361 ] Research and Testing Laboratory (institution):[ KNWRC3530 ] KNWRC3530 (box):[ KNWRC3383 ] KNWRC3383 (bag):[ UAM100185682 ] UAM100185682 (tag)"",""RK"":"""",""PA"":[]}]","60.4413472900","-151.0876126000"
"http://creativecommons.org/publicdomain/zero/1.0/","KNWR:Ento:10898","Arthropoda","12","United States","Alaska","Soldotna, Ski Hill Road, off of Centennial Trail 480m northeast of Kenai National Wildlife Refuge headquarters building, Slikok watershed project site SK03, west half of plot","USA: Alaska, Soldotna, Ski Hill Road, off of Centennial Trail 480m northeast of Kenai National Wildlife Refuge headquarters building, Slikok watershed project site SK03, west half of plot","6/14/2016","[{""ID"":""25961924"",""SF"":"""",""PN"":""whole organism (fluid-preserved)"",""LC"":""1"",""DP"":""on loan"",""CD"":""condition not assessed"",""BC"":""UAM100185678"",""CP"":""[ KNWRC3361 ] Research and Testing Laboratory (institution):[ KNWRC3530 ] KNWRC3530 (box):[ KNWRC3383 ] KNWRC3383 (bag):[ UAM100185678 ] UAM100185678 (tag)"",""RK"":"""",""PA"":[]}]","60.4677508500","-151.0669826000"
"http://creativecommons.org/publicdomain/zero/1.0/","KNWR:Ento:11046","Dendrobaena octaedra","7","United States","Alaska","Soldotna, Ski Hill Road, forest 840m northeast of Headquarters Lake, vicinity of Slikok watershed project site SK04","Soldotna, Ski Hill Road, forest 840m northeast of Headquarters Lake, vicinity of Slikok watershed project site SK04","7/19/2016","[{""ID"":""26441080"",""SF"":"""",""PN"":""whole organism (fluid-preserved)"",""LC"":""8"",""DP"":""being processed"",""CD"":""condition not assessed"",""BC"":""UAM100185766"",""CP"":""[ KNWRC0 ] Kenai National Wildlife Refuge (institution):[ KNWRC1 ] Biology Laboratory (room):[ KNWRC175 ] KNWRC175 (freezer):[ KNWRC3331 ] KNWRC3331 (unit tray):[ UAM100185766 ] UAM100185766 (tag)"",""RK"":"""",""PA"":[]}]","60.4673200000","-151.0486000000"
"http://creativecommons.org/publicdomain/zero/1.0/","KNWR:Ento:11058","Bimastos rubidus","10","United States","Alaska","Soldotna, 40m east of Sterling Highway 480m northeast of intersection with south end of Ski Hill Road, vicinity of Slikok watershed project site MG10","Soldotna, 40m east of Sterling Highway 480m northeast of intersection with south end of Ski Hill Road, vicinity of Slikok watershed project site MG10","8/10/2016","[{""ID"":""26450636"",""SF"":"""",""PN"":""whole organism (fluid-preserved)"",""LC"":""1"",""DP"":""being processed"",""CD"":""good"",""BC"":""UAM100185758"",""CP"":""[ KNWRC0 ] Kenai National Wildlife Refuge (institution):[ KNWRC1 ] Biology Laboratory (room):[ KNWRC175 ] KNWRC175 (freezer):[ KNWRC3331 ] KNWRC3331 (unit tray):[ UAM100185758 ] UAM100185758 (tag)"",""RK"":"""",""PA"":[]}]","60.4593700000","-151.0949600000"
