ID	locality	occurrenceStatus	establishmentMeans	source	countryCode	locationID
100020	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:10350	US	GADM:Kenai Peninsula
100193	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:6759	US	GADM:Kenai Peninsula
100216	Kenai National Wildlife Refuge	present	native	http://www.inaturalist.org/observations/1596288	US	GADM:Kenai Peninsula
100216	Kenai National Wildlife Refuge	present	native	http://www.inaturalist.org/observations/1790175	US	GADM:Kenai Peninsula
100297	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:9025	US	GADM:Kenai Peninsula
10038	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Ento:10676	US	GADM:Kenai Peninsula
100478	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Herb:57444	US	GADM:Kenai Peninsula
101249	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Ento:8499	US	GADM:Kenai Peninsula
101263	Kenai National Wildlife Refuge	present	exotic	http://www.inaturalist.org/observations/4050288	US	GADM:Kenai Peninsula
101272	Kenai National Wildlife Refuge	present	native	https://www.inaturalist.org/observations/15768287	US	GADM:Kenai Peninsula
101349	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Ento:11227	US	GADM:Kenai Peninsula
101643	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:9007	US	GADM:Kenai Peninsula
101735	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:9102	US	GADM:Kenai Peninsula
101736	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:9104	US	GADM:Kenai Peninsula
101736	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:9105	US	GADM:Kenai Peninsula
101781	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Ento:11249	US	GADM:Kenai Peninsula
101835	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Ento:7337	US	GADM:Kenai Peninsula
101835	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:132392	US	GADM:Kenai Peninsula
102565	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Ento:6819	US	GADM:Kenai Peninsula
102580	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Ento:11054	US	GADM:Kenai Peninsula
