ID	taxonID	kingdom	phylum	class	order	family	scientificName	taxonRank
1210516	1210516	Animalia			Coleoptera	Cantharidae	Dichelotarsus laevicollis (Kirby, 1837)	species
1210517	1210517	Animalia			Coleoptera	Cantharidae	Dichelotarsus tetragonoderus (Fall, 1926)	species
1210520	1210520	Animalia			Coleoptera	Staphylinidae	Quedionuchus plagiatus (Mannerheim, 1843)	species
1210515	1210515	Animalia			Collembola	Onychiuridae	Hymenaphorura nearctica Pomorski, 2001	species
1210513	1210513	Animalia			Diptera	Pipunculidae	Tomosvaryella kuthyi Aczel, 1944	species
1210518	1210518	Animalia			Trombidiformes	Erythraeidae	Erythraeus tonsus (L. Koch, 1879)	species
985968	985968	Animalia	Annelida	Clitellata		Enchytraeidae	Mesenchytraeus solifugus (Emery, 1898)	species
559542	559542	Animalia	Annelida	Clitellata	Hirudinida	Erpobdellidae	Erpobdella punctata (Leidy, 1870)	species
561715	561715	Animalia	Annelida	Clitellata	Hirudinida	Glossiphoniidae	Glossiphonia complanata (Linnaeus, 1758)	species
563878	563878	Animalia	Annelida	Clitellata	Hirudinida	Glossiphoniidae	Helobdella stagnalis (Linnaeus, 1758)	species
560736	560736	Animalia	Annelida	Clitellata	Hirudinida	Haemopidae	Haemopis lateromaculata Mathers, 1963	species
965183	965183	Animalia	Annelida	Clitellata	Opisthopora	Lumbricidae	Dendrobaena octaedra (Savigny, 1826)	species
959625	959625	Animalia	Annelida	Clitellata	Opisthopora	Lumbricidae	Dendrodrilus rubidus (Savigny, 1826)	species
962730	962730	Animalia	Annelida	Clitellata	Opisthopora	Lumbricidae	Lumbricus rubellus Hoffmeister, 1843	species
981882	981882	Animalia	Annelida	Clitellata	Opisthopora	Lumbricidae	Lumbricus terrestris Linnaeus, 1758	species
745873	745873	Animalia	Arthropoda	Arachnida				species
809986	809986	Animalia	Arthropoda	Arachnida	Araneae	Agelenidae	Agelenopsis utahana (Chamberlin & Ivie, 1933)	species
817549	817549	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Araneus corticarius (Emerton, 1884)	species
817731	817731	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Araneus marmoreus Clerck, 1757	species
817786	817786	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Araneus nordmanni (Thorell, 1870)	species
818033	818033	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Araniella displicata (Hentz, 1847)	species
819875	819875	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Cyclosa conica (Pallas, 1772)	species
822042	822042	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Hypsosinga pygmaea (Sundevall, 1831)	species
798790	798790	Animalia	Arthropoda	Arachnida	Araneae	Dictynidae	Dictyna alaskae Chamberlin & Ivie, 1947	species
798800	798800	Animalia	Arthropoda	Arachnida	Araneae	Dictynidae	Dictyna arundinacea (Linnaeus, 1758)	species
798850	798850	Animalia	Arthropoda	Arachnida	Araneae	Dictynidae	Dictyna major Menge, 1869	species
789077	789077	Animalia	Arthropoda	Arachnida	Araneae	Dictynidae	Emblyna annulipes (Blackwall, 1846)	species
789087	789087	Animalia	Arthropoda	Arachnida	Araneae	Dictynidae	Emblyna chitina (Chamberlin & Gertsch, 1958)	species
789111	789111	Animalia	Arthropoda	Arachnida	Araneae	Dictynidae	Emblyna manitoba (Ivie, 1947)	species
826288	826288	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae	Baryphyma trifrons (O. P.-Cambridge, 1863)	species
818608	818608	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae	Ceraticelus atriceps (O. P.-Cambridge, 1874)	species
818633	818633	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae	Ceraticelus silus Dondale, 1958	species
818654	818654	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae	Ceratinella ornatula (Crosby & Bishop, 1925)	species
825529	825529	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae	Dismodicus alticeps Chamberlin & Ivie, 1947	species
825534	825534	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae	Dismodicus modicus Chamberlin & Ivie, 1947	species
820586	820586	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae	Erigone tirolensis L. Koch, 1872	species
820866	820866	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae	Estrandia grandaeva (Keyserling, 1886)	species
824327	824327	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae	Grammonota vittata Barrows, 1919	species
824686	824686	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae	Helophora reducta (Keyserling, 1886)	species
822022	822022	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae	Hypselistes florens (O. P.-Cambridge, 1875)	species
822419	822419	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae	Kaestneria rufula (Hackman, 1954)	species
822829	822829	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae	Lepthyphantes alpinus (Emerton, 1882)	species
801388	801388	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae	Megalepthyphantes nebulosus (Sundevall, 1830)	species
815239	815239	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae	Micrargus longitarsus (Emerton, 1882)	species
801837	801837	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae	Mughiphantes marusiki (Tanasevitch, 1988)	species
