SpeciesID,RegionNumber,UnitCode,RefugeName,SciName,SciWAuthority,ExternalSourceCode,TaxonCode,TaxonCategoryGroup,TaxonCategoryName,TaxonKingdom,TaxonPhylum,TaxonClass,TaxonSubClass,TaxonInfraclass,TaxonOrder,TaxonSubOrder,TaxonFamily,TaxonRank,TaxonGenus,RefugeCommonNames,Synonyms,Occurrence,OccurrenceTags,OccurrenceNote,Seasonality,Origin,OriginTags,OriginNote,Abundance,AbundanceNote,SpringAbundance,SpringAbundanceNote,SummerAbundance,SummerAbundanceNote,FallAbundance,FallAbundanceNote,WinterAbundance,WinterAbundanceNote,Management,RecordStatus,RefugeAcceptedStatus,Sensitive,SensitivityNote,ExternalLinks,SpeciesNote,RefugeTags,SSOC_StatusLookup,CreatedBy,CreatedDate,LastModifiedBy,LastModifiedDate
200162,7,FF07RKNA00,Kenai National Wildlife Refuge,Quedionuchus plagiatus,"Quedionuchus plagiatus (Mannerheim, 1843)",,1210520,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Staphylinidae,Species,Quedionuchus,,,Present,,,,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:33380,,,,matt_bowser@fws.gov,12/23/2019 10:08:06 AM,matt_bowser@fws.gov,12/23/2019 10:16:33 AM
200183,7,FF07RKNA00,Kenai National Wildlife Refuge,Chrysomela lapponica,"Chrysomela lapponica Linnaeus, 1758",,1215796,Animals,Insect,Animalia,,,,,Coleoptera,,Chrysomelidae,Species,,,,Present,,,,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,http://bins.boldsystems.org/index.php/Public_RecordView?processid=MOBIL5366-17,,,,matt_bowser@fws.gov,1/17/2020 6:12:53 PM,matt_bowser@fws.gov,1/17/2020 6:13:21 PM
200185,7,FF07RKNA00,Kenai National Wildlife Refuge,Atomaria fimetarius,"Atomaria fimetarius (Fabricius, 1792)",,1215797,Animals,Insect,Animalia,,,,,Coleoptera,,Cryptophagidae,Species,,,,Present,,,,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Ento:4964,,,,matt_bowser@fws.gov,1/24/2020 10:07:52 AM,matt_bowser@fws.gov,1/24/2020 10:08:30 AM
204278,7,FF07RKNA00,Kenai National Wildlife Refuge,Corticaria ferruginea,,-694115,560769,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Latridiidae,Species,Corticaria,,,Present,,,,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Ento:4568,,,,matt_bowser@fws.gov,2/3/2020 11:29:36 AM,matt_bowser@fws.gov,2/3/2020 11:29:58 AM
204284,7,FF07RKNA00,Kenai National Wildlife Refuge,Hylaeus annulatus,"Hylaeus annulatus (Linnaeus, 1758)",655706,481684,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Hymenoptera,Apocrita,Colletidae,Species,Hylaeus,,,Present,,,,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Ento:8380,,,,matt_bowser@fws.gov,2/7/2020 4:54:51 PM,matt_bowser@fws.gov,2/7/2020 4:55:26 PM
204279,7,FF07RKNA00,Kenai National Wildlife Refuge,Enicmus mimus,,-694077,559854,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Latridiidae,Species,,,,Present,,,,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAM:Ento:282612,,,,matt_bowser@fws.gov,2/3/2020 11:40:28 AM,matt_bowser@fws.gov,2/3/2020 11:40:54 AM
204283,7,FF07RKNA00,Kenai National Wildlife Refuge,Agoliinus congregatus,"Agoliinus congregatus (Mannerheim, 1853)",926771,919051,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Scarabaeidae,Species,Agoliinus,,,Present,,,,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAM:Ento:404008,,,,matt_bowser@fws.gov,2/4/2020 9:48:28 AM,matt_bowser@fws.gov,2/4/2020 9:48:52 AM
200188,7,FF07RKNA00,Kenai National Wildlife Refuge,Sericus incongruus,,-687705,547586,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Elateridae,Species,,,,Present,,,,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Ento:3767,,,,matt_bowser@fws.gov,1/24/2020 10:35:27 AM,matt_bowser@fws.gov,1/24/2020 10:35:49 AM
200187,7,FF07RKNA00,Kenai National Wildlife Refuge,Ctenicera watsoni,,-688201,550842,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Elateridae,Species,Ctenicera,,,Present,,,,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:32498,,,,matt_bowser@fws.gov,1/24/2020 10:32:25 AM,matt_bowser@fws.gov,1/24/2020 10:32:59 AM
204280,7,FF07RKNA00,Kenai National Wildlife Refuge,Xylita laevigata,,,992447,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Melandryidae,Species,Xylita,,,Present,,,,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:32562,,,,matt_bowser@fws.gov,2/3/2020 12:06:16 PM,matt_bowser@fws.gov,2/3/2020 12:06:35 PM
