SpeciesID,RegionNumber,UnitCode,RefugeName,SciName,SciWAuthority,ExternalSourceCode,TaxonCode,TaxonCategoryGroup,TaxonCategoryName,TaxonKingdom,TaxonPhylum,TaxonClass,TaxonSubClass,TaxonInfraclass,TaxonOrder,TaxonSubOrder,TaxonFamily,TaxonRank,TaxonGenus,RefugeCommonNames,Synonyms,Occurrence,OccurrenceTags,OccurrenceNote,Seasonality,Origin,OriginTags,OriginNote,Abundance,AbundanceNote,SpringAbundance,SpringAbundanceNote,SummerAbundance,SummerAbundanceNote,FallAbundance,FallAbundanceNote,WinterAbundance,WinterAbundanceNote,Management,RecordStatus,RefugeAcceptedStatus,Sensitive,SensitivityNote,ExternalLinks,SpeciesNote,RefugeTags,SSOC_StatusLookup,CreatedBy,CreatedDate,LastModifiedBy,LastModifiedDate
211669,7,FF07RKNA00,Kenai National Wildlife Refuge,Geopyxis carbonaria,Geopyxis carbonaria (Alb. & Schwein.) Sacc. 1889,,992587,Fungi,Fungi,Fungi,Ascomycota,Pezizomycetes,Pezizomycetidae,,Pezizales,,Pyronemataceae,Species,Geopyxis,,,Present,,,,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,https://www.inaturalist.org/observations/46393003,,,,matt_bowser@fws.gov,5/18/2020 11:43:32 AM,matt_bowser@fws.gov,5/18/2020 11:43:33 AM
188442,7,FF07RKNA00,Kenai National Wildlife Refuge,Craterellus lutescens,Craterellus lutescens (Fr.) Fr.,,1125526,Fungi,Fungi,Fungi,Basidiomycota,Agaricomycetes,,,Cantharellales,,Cantharellaceae,Species,Craterellus,yellow foot,,Present,,,,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,https://www.inaturalist.org/observations/17942629,,,,matt_bowser@fws.gov,11/1/2019 1:41:56 PM,matt_bowser@fws.gov,11/1/2019 1:42:26 PM
211683,7,FF07RKNA00,Kenai National Wildlife Refuge,Biatora efflorescens,,-506582,167160,Fungi,Fungi,Fungi,Ascomycota,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,Ramalinaceae,Species,Biatora,,,Present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Herb:12272,,,,jake_danner@fws.gov,5/18/2020 5:35:48 PM,jake_danner@fws.gov,5/18/2020 5:35:49 PM
211585,7,FF07RKNA00,Kenai National Wildlife Refuge,Neidium iridis,Neidium iridis (Ehrenb.) Cleve,3295,129702,Chromista,Chromista,Chromista,Ochrophyta,Bacillariophyceae,Bacillariophycidae,,Naviculales,,Neidiaceae,Species,Neidium,,,Present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,https://www.inaturalist.org/observations/12730287,,,,jake_danner@fws.gov,5/8/2020 4:18:00 PM,jake_danner@fws.gov,5/8/2020 4:18:00 PM
211581,7,FF07RKNA00,Kenai National Wildlife Refuge,Aulacoseira subarctica,Aulacoseira subarctica (O. Müll.) E. Y. Haw.,591206,344842,Chromista,Chromista,Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscophycidae,,Aulacoseirales,,Aulacoseiraceae,Species,Aulacoseira,,,Present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,https://www.inaturalist.org/observations/12872794,,,,jake_danner@fws.gov,5/8/2020 4:03:42 PM,jake_danner@fws.gov,5/8/2020 4:03:42 PM
211582,7,FF07RKNA00,Kenai National Wildlife Refuge,Eunotia glacialis,Eunotia glacialis F. Meister,3353,137878,Chromista,Chromista,Chromista,Ochrophyta,Bacillariophyceae,Bacillariophycidae,,Eunotiales,,Eunotiaceae,Species,Eunotia,,,Present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,https://www.inaturalist.org/observations/12830204,,,,jake_danner@fws.gov,5/8/2020 4:08:14 PM,jake_danner@fws.gov,5/8/2020 4:08:14 PM
211591,7,FF07RKNA00,Kenai National Wildlife Refuge,Calvatia booniana,,,773940,Fungi,Fungi,,,,,,Lycoperdales,,Lycoperdaceae,Species,Calvatia,,,Present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Herb:7334,,,,jake_danner@fws.gov,5/8/2020 5:11:06 PM,jake_danner@fws.gov,5/8/2020 5:11:06 PM
211598,7,FF07RKNA00,Kenai National Wildlife Refuge,Hydnellum peckii,,-744046,667752,Fungi,Fungi,Fungi,,,,,Thelephorales,,Bankeraceae,Species,,,,Present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,https://www.inaturalist.org/observations/211126,,,,jake_danner@fws.gov,5/8/2020 5:43:48 PM,jake_danner@fws.gov,5/8/2020 5:43:48 PM
211590,7,FF07RKNA00,Kenai National Wildlife Refuge,Cudonia circinans,,-750785,680831,Fungi,Fungi,Fungi,Ascomycota,Leotiomycetes,Leotiomycetidae,,Rhytismatales,,Cudoniaceae,Species,,,,Present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,https://www.inaturalist.org/observations/9523714,,,,jake_danner@fws.gov,5/8/2020 4:35:01 PM,jake_danner@fws.gov,5/8/2020 4:35:01 PM
211595,7,FF07RKNA00,Kenai National Wildlife Refuge,Onnia tomentosa,Onnia tomentosa (Fr.) P. Karst.,,1126433,Fungi,Fungi,Fungi,Basidiomycota,Agaricomycetes,,,Hymenochaetales,,Hymenochaetaceae,Species,Onnia,,,Present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,https://www.inaturalist.org/observations/30460056,,,,jake_danner@fws.gov,5/8/2020 5:25:17 PM,jake_danner@fws.gov,5/8/2020 5:25:17 PM
