SpeciesID,RegionNumber,UnitCode,RefugeName,SciName,SciWAuthority,ExternalSourceCode,TaxonCode,TaxonCategoryGroup,TaxonCategoryName,TaxonKingdom,TaxonPhylum,TaxonClass,TaxonSubClass,TaxonInfraclass,TaxonOrder,TaxonSubOrder,TaxonFamily,TaxonRank,TaxonGenus,RefugeCommonNames,Synonyms,Occurrence,OccurrenceTags,OccurrenceNote,Seasonality,Origin,OriginTags,OriginNote,Abundance,AbundanceNote,SpringAbundance,SpringAbundanceNote,SummerAbundance,SummerAbundanceNote,FallAbundance,FallAbundanceNote,WinterAbundance,WinterAbundanceNote,Management,RecordStatus,RefugeAcceptedStatus,Sensitive,SensitivityNote,ExternalLinks,SpeciesNote,RefugeTags,SSOC_StatusLookup,CreatedBy,CreatedDate,LastModifiedBy,LastModifiedDate
188446,7,FF07RKNA00,Kenai National Wildlife Refuge,Canalidion montanum,"Canalidion montanum (Emerton, 1882)",853180,826716,Animals,Spider/Scorpion,Animalia,Arthropoda,Euchelicerata,Arachnida,,Araneae,,Theridiidae,Species,Canalidion,,,Present,,,,Native,,,Common,,,,,,,,,,,Draft,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:239642,,,,matt_bowser@fws.gov,11/4/2019 8:45:32 AM,matt_bowser@fws.gov,11/4/2019 8:45:32 AM
188448,7,FF07RKNA00,Kenai National Wildlife Refuge,Ixodes angustus,,-9786399,745873,Animals,Spider/Scorpion,,,Arachnida,,,,,,Species,,,,Present,,,,Native,,,Common,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/MSB:Para:28090,,,,matt_bowser@fws.gov,11/5/2019 5:20:55 PM,matt_bowser@fws.gov,11/5/2019 5:20:56 PM
188443,7,FF07RKNA00,Kenai National Wildlife Refuge,Micrargus longitarsus,"Micrargus longitarsus (Emerton, 1882)",861507,815239,Animals,Spider/Scorpion,Animalia,Arthropoda,Euchelicerata,Arachnida,,Araneae,,Linyphiidae,Species,Micrargus,,,Present,,,,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Ento:6464,,,,matt_bowser@fws.gov,11/2/2019 8:30:48 AM,matt_bowser@fws.gov,11/2/2019 8:33:03 AM
188447,7,FF07RKNA00,Kenai National Wildlife Refuge,Ohlertidion ohlerti,"Ohlertidion ohlerti (Thorell, 1870)",863293,803673,Animals,Spider/Scorpion,Animalia,Arthropoda,Euchelicerata,Arachnida,,Araneae,,Theridiidae,Species,Ohlertidion,,,Present,,,,Native,,,Common,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Ento:3943,,,,matt_bowser@fws.gov,11/5/2019 10:41:35 AM,matt_bowser@fws.gov,11/5/2019 10:41:37 AM
211650,7,FF07RKNA00,Kenai National Wildlife Refuge,Deroceras reticulatum,"Deroceras reticulatum (Muller, 1774)",77307,716984,Animals,Slug/Snail,Animalia,Mollusca,Gastropoda,,,Stylommatophora,,Limacidae,Species,Deroceras,,,Present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Ento:8635,,,,jake_danner@fws.gov,5/11/2020 5:14:56 PM,jake_danner@fws.gov,5/11/2020 5:14:56 PM
188444,7,FF07RKNA00,Kenai National Wildlife Refuge,Kaestneria pullata,"Kaestneria pullata (O. P.-Cambridge, 1863)",858764,822418,Animals,Spider/Scorpion,Animalia,Arthropoda,Euchelicerata,Arachnida,,Araneae,,Linyphiidae,Species,Kaestneria,,,Probably Present,,,,Native,,,,,,,,,,,,,,Approved,Accepted,No,,,"Kaestneria pullata is known from Kenai, Seward, and Homer, and very likely occurs on Kenai National Wildlife Refuge, but there have been no specimens identified from the Refuge.",,,matt_bowser@fws.gov,11/4/2019 8:08:48 AM,matt_bowser@fws.gov,11/4/2019 8:12:01 AM
188445,7,FF07RKNA00,Kenai National Wildlife Refuge,Kaestneria rufula,"Kaestneria rufula (Hackman, 1954)",858765,822419,Animals,Spider/Scorpion,Animalia,Arthropoda,Euchelicerata,Arachnida,,Araneae,,Linyphiidae,Species,Kaestneria,,,Present,,,,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,https://arctos.database.museum/guid/UAMObs:Ento:240442,,,,matt_bowser@fws.gov,11/4/2019 8:22:30 AM,matt_bowser@fws.gov,11/4/2019 8:22:30 AM
191773,7,FF07RKNA00,Kenai National Wildlife Refuge,Leptobunus borealis,"Leptobunus borealis Banks, 1899",1014067,1030866,Animals,Spider/Scorpion,Animalia,Arthropoda,Euchelicerata,Arachnida,,Opiliones,Eupnoi,Phalangiidae,Species,Leptobunus,,,Present,,,,Native,,,Common,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Ento:10851,,,,matt_bowser@fws.gov,11/6/2019 5:25:09 PM,matt_bowser@fws.gov,11/6/2019 5:25:09 PM
160264,7,FF07RKNA00,Kenai National Wildlife Refuge,Gammarus lacustris,"Gammarus lacustris G. O. Sars, 1863",93789,735462,Animals,Crab/Lobster/Shrimp,Animalia,Arthropoda,Malacostraca,Eumalacostraca,,Amphipoda,Gammaridea,Gammaridae,Species,Gammarus,,,Present,,, Seasonal Occurrence Uncertain,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,http://bins.boldsystems.org/index.php/Public_RecordView?processid=NJCGS1177-11,,,,Script: Mark_Laker@fws.gov,6/5/2019 10:06:35 PM,FWSpec-199:matt_bowser@fws.gov,12/9/2019 7:17:02 AM
161097,7,FF07RKNA00,Kenai National Wildlife Refuge,Tibellus maritimus,"Tibellus maritimus (Menge, 1875)",890922,780797,Animals,Spider/Scorpion,Animalia,Arthropoda,Euchelicerata,Arachnida,,Araneae,,Philodromidae,Species,Tibellus,,,Present,,, Seasonal Occurrence Uncertain,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Ento:3386,,,,Script: Mark_Laker@fws.gov,6/5/2019 10:16:02 PM,FWSpec-199:matt_bowser@fws.gov,12/9/2019 7:17:10 AM
