SpeciesID,RegionNumber,UnitCode,RefugeName,SciName,SciWAuthority,ExternalSourceCode,TaxonCode,TaxonCategoryGroup,TaxonCategoryName,TaxonKingdom,TaxonPhylum,TaxonClass,TaxonSubClass,TaxonInfraclass,TaxonOrder,TaxonSubOrder,TaxonFamily,TaxonRank,TaxonGenus,RefugeCommonNames,Synonyms,Occurrence,OccurrenceTags,OccurrenceNote,Seasonality,Origin,OriginTags,OriginNote,Abundance,AbundanceNote,SpringAbundance,SpringAbundanceNote,SummerAbundance,SummerAbundanceNote,FallAbundance,FallAbundanceNote,WinterAbundance,WinterAbundanceNote,Management,RecordStatus,RefugeAcceptedStatus,Sensitive,SensitivityNote,ExternalLinks,SpeciesNote,RefugeTags,SSOC_StatusLookup,CreatedBy,CreatedDate,LastModifiedBy,LastModifiedDate
151635,7,FF07RKNA00,Kenai National Wildlife Refuge,Calcarius,"Calcarius Bechstein, 1802",179524,85679,Animals,Bird,Animalia,Chordata,Aves,,,Passeriformes,,Calcariidae,Genus,Calcarius,Longspurs,,Present,,, Seasonal Occurrence Uncertain,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,,,,,Script: Mark_Laker@fws.gov,6/5/2019 8:36:12 PM,Script: Mark_Laker@fws.gov,6/5/2019 8:36:12 PM
188441,7,FF07RKNA00,Kenai National Wildlife Refuge,Marmota caligata,"Marmota caligata (Eschscholtz, 1829)",180139,89667,Animals,Mammal,Animalia,Chordata,Mammalia,,,Rodentia,Sciuromorpha,Sciuridae,Species,Marmota,hoary marmot,,Present,,,,Native,,,,,,,,,,,,,,Approved,Accepted,No,,"http://arctos.database.museum/guid/UAM:Mamm:101919, http://arctos.database.museum/guid/UAM:Mamm:86414, http://arctos.database.museum/guid/UWBM:Mamm:39667, http://arctos.database.museum/guid/UWBM:Mamm:82390",,,,matt_bowser@fws.gov,11/1/2019 12:45:29 PM,matt_bowser@fws.gov,11/1/2019 12:55:17 PM
188439,7,FF07RKNA00,Kenai National Wildlife Refuge,Phasianus colchicus,"Phasianus colchicus Linnaeus, 1758",175905,84328,Animals,Bird,Animalia,Chordata,Aves,,,Galliformes,,Phasianidae,Species,Phasianus,Ring-necked pheasant,,Present,,,,Non-native,,,Occasional,,,,,,,,,,,Approved,Accepted,No,,,,,,matt_bowser@fws.gov,10/30/2019 10:06:01 AM,matt_bowser@fws.gov,10/30/2019 10:06:01 AM
178043,7,FF07RKNA00,Kenai National Wildlife Refuge,Pluvialis,"Pluvialis Brisson, 1760",176560,77690,Animals,Bird,Animalia,Chordata,Aves,,,Charadriiformes,,Charadriidae,Genus,Pluvialis,,,Present,,, Seasonal Occurrence Uncertain,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,,,,,Script: Mark_Laker@fws.gov,6/6/2019 12:59:48 AM,Script: Mark_Laker@fws.gov,6/6/2019 12:59:49 AM
178044,7,FF07RKNA00,Kenai National Wildlife Refuge,Scolopacidae,"Scolopacidae Rafinesque, 1815",176568,77698,Animals,Bird,Animalia,Chordata,Aves,,,Charadriiformes,,Scolopacidae,Family,,,"262855, 262864, 80292",Present,,, Seasonal Occurrence Uncertain,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,,,,,Script: Mark_Laker@fws.gov,6/6/2019 12:59:49 AM,Script: Mark_Laker@fws.gov,6/6/2019 12:59:50 AM
177496,7,FF07RKNA00,Kenai National Wildlife Refuge,Pungitius pungitius,"Pungitius pungitius (Linnaeus, 1758)",166387,74155,Animals,Fish,Animalia,Chordata,Teleostei,,,Gasterosteiformes,Gasterosteoidei,Gasterosteidae,Species,Pungitius,Tenspined stickleback,"458601, 74156, 74159, 74160, 74161, 74162, 74163",Present,,, Seasonal Occurrence Uncertain,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,,,,,Script: Mark_Laker@fws.gov,6/6/2019 12:55:50 AM,Script: Mark_Laker@fws.gov,6/6/2019 12:55:54 AM
171340,7,FF07RKNA00,Kenai National Wildlife Refuge,Bovidae,"Bovidae Gray, 1821",180704,95053,Animals,Mammal,Animalia,Chordata,Mammalia,,,Artiodactyla,,Bovidae,Family,,Sheep,"891056, 891372, 891374, 891379, 891380, 891381, 891382, 891383",Present,,, Seasonal Occurrence Uncertain,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,,,,,Script: Mark_Laker@fws.gov,6/5/2019 11:57:53 PM,Script: Mark_Laker@fws.gov,6/5/2019 11:58:00 PM
168469,7,FF07RKNA00,Kenai National Wildlife Refuge,Sorex,"Sorex Linnaeus, 1758",179928,88121,Animals,Mammal,Animalia,Chordata,Mammalia,,,Soricomorpha,,Soricidae,Genus,Sorex,Red-toothed shrews,88673,Present,,, Seasonal Occurrence Uncertain,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,,,,,Script: Mark_Laker@fws.gov,6/5/2019 11:30:55 PM,Script: Mark_Laker@fws.gov,6/5/2019 11:30:56 PM
172880,7,FF07RKNA00,Kenai National Wildlife Refuge,Catostomidae,Catostomidae,163892,65702,Animals,Fish,Animalia,Chordata,Teleostei,,,Cypriniformes,,Catostomidae,Family,,Suckers,,Present,,, Seasonal Occurrence Uncertain,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,,,,,Script: Mark_Laker@fws.gov,6/6/2019 12:15:21 AM,Script: Mark_Laker@fws.gov,6/6/2019 12:15:22 AM
172881,7,FF07RKNA00,Kenai National Wildlife Refuge,Catostomus,"Catostomus Lesueur, 1817",163893,65703,Animals,Fish,Animalia,Chordata,Teleostei,,,Cypriniformes,,Catostomidae,Genus,Catostomus,Common suckers,,Present,,, Seasonal Occurrence Uncertain,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,,,,,Script: Mark_Laker@fws.gov,6/6/2019 12:15:22 AM,Script: Mark_Laker@fws.gov,6/6/2019 12:15:22 AM
172882,7,FF07RKNA00,Kenai National Wildlife Refuge,Catostomus catostomus,"Catostomus catostomus (Forster, 1773)",163894,65704,Animals,Fish,Animalia,Chordata,Teleostei,,,Cypriniformes,,Catostomidae,Species,Catostomus,Longnose sucker,,Present,,, Seasonal Occurrence Uncertain,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,"http://ecos.fws.gov/ServCatFiles/reference/holding/2361, http://www.fws.gov/uploadedFiles/Dean_JL_and_S_Rickabough_2005.pdf, http://www.fws.gov/uploadedFiles/Friedersdorff_JW_1986.pdf","Widespread across Alaska, northern North America, and into Arctic Siberia \citep{LawrenceBurr1991}, this species is present in the Kenai River and Swanson River watersheds on the Refuge \citep{DeanRickabough2005}.|Two forms have been documented from the Refuge: the typical form and a semi-dwarf form known from Wolf and Finger Lakes \citep{DeanRickabough2005}.|\itaxon{Catostomus!catostomus} is a bottom-feeder, consuming mainly invertebrates \citep{Mansfield2004}.",,,Script: Mark_Laker@fws.gov,6/6/2019 12:15:22 AM,FWSpec-199:matt_bowser@fws.gov,12/9/2019 7:17:01 AM
163248,7,FF07RKNA00,Kenai National Wildlife Refuge,Corvus,"Corvus Linnaeus, 1758",179724,87098,Animals,Bird,Animalia,Chordata,Aves,,,Passeriformes,,Corvidae,Genus,Corvus,Unidentified crow,,Present,,, Seasonal Occurrence Uncertain,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,,,,,Script: Mark_Laker@fws.gov,6/5/2019 10:44:00 PM,Script: Mark_Laker@fws.gov,6/5/2019 10:44:01 PM
160972,7,FF07RKNA00,Kenai National Wildlife Refuge,Falco columbarius,"Falco columbarius Linnaeus, 1758",175613,82533,Animals,Bird,Animalia,Chordata,Aves,,,Falconiformes,,Falconidae,Species,Falco,Merlin,,Present,,, Seasonal Occurrence Uncertain,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,"http://ebird.org/ebird/view/checklist/S26510307, http://ebird.org/ebird/view/checklist/S2960137, http://ebird.org/ebird/view/checklist/S4147088, http://ebird.org/ebird/view/checklist/S5060120, http://ebird.org/ebird/view/checklist/S5187103, http://ebird.org/ebird/view/checklist/S5188713, http://ebird.org/ebird/view/checklist/S5247368, http://ebird.org/ebird/view/checklist/S5250829, http://ebird.org/ebird/view/checklist/S5866236, http://ebird.org/ebird/view/checklist/S5866249, http://ebird.org/ebird/view/checklist/S5866252, http://ebird.org/ebird/view/checklist/S5866256, http://ebird.org/ebird/view/checklist/S5866263, http://ebird.org/ebird/view/checklist/S5866264, http://ebird.org/ebird/view/checklist/S5866265, http://ebird.org/ebird/view/checklist/S5866266, http://ebird.org/ebird/view/checklist/S5866267, http://ebird.org/ebird/view/checklist/S5866268, http://ebird.org/ebird/view/checklist/S5866269, http://ebird.org/ebird/view/checklist/S5866270, http://ebird.org/ebird/view/checklist/S5866271, http://ebird.org/ebird/view/checklist/S5866272, http://ebird.org/ebird/view/checklist/S5866280, http://ebird.org/ebird/view/checklist/S5866281, http://ebird.org/ebird/view/checklist/S5866284, http://ebird.org/ebird/view/checklist/S5866294, http://ebird.org/ebird/view/checklist/S5866300, http://ebird.org/ebird/view/checklist/S5866301, http://ebird.org/ebird/view/checklist/S5866302, http://ebird.org/ebird/view/checklist/S5866303, http://ebird.org/ebird/view/checklist/S5866304, http://ebird.org/ebird/view/checklist/S5866306, http://ebird.org/ebird/view/checklist/S5866310, http://ebird.org/ebird/view/checklist/S5870964, http://ebird.org/ebird/view/checklist/S5870968, http://ebird.org/ebird/view/checklist/S5870970, http://ebird.org/ebird/view/checklist/S5870978, http://ebird.org/ebird/view/checklist/S5870984, http://ebird.org/ebird/view/checklist/S5870985, http://ebird.org/ebird/view/checklist/S5870986, http://ebird.org/ebird/view/checklist/S5870987, http://ebird.org/ebird/view/checklist/S5870988, http://ebird.org/ebird/view/checklist/S5870990, http://ebird.org/ebird/view/checklist/S5870994, http://ebird.org/ebird/view/checklist/S5870995, http://ebird.org/ebird/view/checklist/S5882067, http://ebird.org/ebird/view/checklist/S6447196, http://ebird.org/ebird/view/checklist/S6550978, http://ebird.org/ebird/view/checklist/S6550979, http://ebird.org/ebird/view/checklist/S6550981, http://ebird.org/ebird/view/checklist/S6550983, http://ebird.org/ebird/view/checklist/S6550984, http://ebird.org/ebird/view/checklist/S6550985, http://ebird.org/ebird/view/checklist/S6550987, http://ebird.org/ebird/view/checklist/S6550990, http://ebird.org/ebird/view/checklist/S6550991, http://ebird.org/ebird/view/checklist/S6550992, http://ebird.org/ebird/view/checklist/S6550994, http://ebird.org/ebird/view/checklist/S6550995, http://ebird.org/ebird/view/checklist/S6550996, http://ebird.org/ebird/view/checklist/S6551000, http://ebird.org/ebird/view/checklist/S6551001, http://ebird.org/ebird/view/checklist/S6551002, http://ebird.org/ebird/view/checklist/S6551003, http://ebird.org/ebird/view/checklist/S6551004, http://ebird.org/ebird/view/checklist/S6551005, http://ebird.org/ebird/view/checklist/S6551006, http://ebird.org/ebird/view/checklist/S6551007, http://ebird.org/ebird/view/checklist/S6551008, http://ebird.org/ebird/view/checklist/S6551009, http://ebird.org/ebird/view/checklist/S6551010, http://ebird.org/ebird/view/checklist/S6551022, http://ebird.org/ebird/view/checklist/S6551026, http://ebird.org/ebird/view/checklist/S6551028, http://ebird.org/ebird/view/checklist/S6551030, http://ebird.org/ebird/view/checklist/S6551033, http://ebird.org/ebird/view/checklist/S6551038, http://ebird.org/ebird/view/checklist/S6723932, http://ebird.org/ebird/view/checklist/S6980220, http://ebird.org/ebird/view/checklist/S6980227, http://ebird.org/ebird/view/checklist/S6980228, http://ebird.org/ebird/view/checklist/S6980229, http://ebird.org/ebird/view/checklist/S6980231, http://ebird.org/ebird/view/checklist/S6980233, http://ebird.org/ebird/view/checklist/S6980242, http://ebird.org/ebird/view/checklist/S6980243, http://ebird.org/ebird/view/checklist/S6980245, http://ebird.org/ebird/view/checklist/S6980248, http://ebird.org/ebird/view/checklist/S6980253, http://ebird.org/ebird/view/checklist/S6980254, http://ebird.org/ebird/view/checklist/S6980255, http://ebird.org/ebird/view/checklist/S6980256, http://ebird.org/ebird/view/checklist/S6980258, http://ebird.org/ebird/view/checklist/S6980260, http://ebird.org/ebird/view/checklist/S6980261, http://ebird.org/ebird/view/checklist/S6980262, http://ebird.org/ebird/view/checklist/S6980263, http://ebird.org/ebird/view/checklist/S6980266, http://ebird.org/ebird/view/checklist/S6980269, http://ebird.org/ebird/view/checklist/S6980271, http://ebird.org/ebird/view/checklist/S6980273, http://ebird.org/ebird/view/checklist/S6980274, http://ebird.org/ebird/view/checklist/S6980275, http://ebird.org/ebird/view/checklist/S6980276, http://ebird.org/ebird/view/checklist/S6980277, http://ebird.org/ebird/view/checklist/S6980278, http://ebird.org/ebird/view/checklist/S6980279, http://ebird.org/ebird/view/checklist/S6980280, http://ebird.org/ebird/view/checklist/S6980283, http://ebird.org/ebird/view/checklist/S6980284, http://ebird.org/ebird/view/checklist/S6980286, http://ebird.org/ebird/view/checklist/S6980288, http://ebird.org/ebird/view/checklist/S6980292, http://ebird.org/ebird/view/checklist/S6980295, http://ebird.org/ebird/view/checklist/S6980296, http://ebird.org/ebird/view/checklist/S6980297, http://ebird.org/ebird/view/checklist/S6980299, http://ebird.org/ebird/view/checklist/S6980301, http://ebird.org/ebird/view/checklist/S6980302, http://ebird.org/ebird/view/checklist/S6980303, http://ebird.org/ebird/view/checklist/S6980304, http://ebird.org/ebird/view/checklist/S6980306, http://ebird.org/ebird/view/checklist/S6980307, http://ebird.org/ebird/view/checklist/S6980308, http://ebird.org/ebird/view/checklist/S6980309, http://ebird.org/ebird/view/checklist/S6980322, http://ebird.org/ebird/view/checklist/S6980323, http://ebird.org/ebird/view/checklist/S6980324, http://ebird.org/ebird/view/checklist/S6980325, http://ebird.org/ebird/view/checklist/S6980326, http://ebird.org/ebird/view/checklist/S6980327, http://ebird.org/ebird/view/checklist/S6980328, http://ebird.org/ebird/view/checklist/S6980329, http://ebird.org/ebird/view/checklist/S6980330, http://ebird.org/ebird/view/checklist/S6980331, http://ebird.org/ebird/view/checklist/S6980332, http://ebird.org/ebird/view/checklist/S6980334, http://ebird.org/ebird/view/checklist/S6980335, http://ebird.org/ebird/view/checklist/S6980336, http://ebird.org/ebird/view/checklist/S6980338, http://ebird.org/ebird/view/checklist/S6980340, http://ebird.org/ebird/view/checklist/S6980341, http://ebird.org/ebird/view/checklist/S6980342, http://ebird.org/ebird/view/checklist/S6980344, http://ebird.org/ebird/view/checklist/S6980347, http://ebird.org/ebird/view/checklist/S6980348, http://ebird.org/ebird/view/checklist/S6980349, http://ebird.org/ebird/view/checklist/S6980351, http://ebird.org/ebird/view/checklist/S6980352, http://ebird.org/ebird/view/checklist/S6980353, http://ebird.org/ebird/view/checklist/S6980354, http://ebird.org/ebird/view/checklist/S6980355, http://ebird.org/ebird/view/checklist/S6980359",common breeder along Kenai River,,,Script: Mark_Laker@fws.gov,6/5/2019 10:14:46 PM,FWSpec-199:matt_bowser@fws.gov,12/9/2019 7:18:41 AM
163771,7,FF07RKNA00,Kenai National Wildlife Refuge,Arenaria melanocephala,"Arenaria melanocephala (Vigors, 1829)",176574,77705,Animals,Bird,Animalia,Chordata,Aves,,,Charadriiformes,,Scolopacidae,Species,Arenaria,Black turnstone,,Present,,, Seasonal Occurrence Uncertain,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,"http://ebird.org/ebird/view/checklist/S5866256, http://ebird.org/ebird/view/checklist/S5866294, http://ebird.org/ebird/view/checklist/S5866295, http://ebird.org/ebird/view/checklist/S5870968, http://ebird.org/ebird/view/checklist/S5870978, http://ebird.org/ebird/view/checklist/S5870979, http://ebird.org/ebird/view/checklist/S6980268, http://ebird.org/ebird/view/checklist/S6980283, http://ebird.org/ebird/view/checklist/S6980290, http://ebird.org/ebird/view/checklist/S6980304",,,,Script: Mark_Laker@fws.gov,6/5/2019 10:49:01 PM,FWSpec-199:matt_bowser@fws.gov,12/9/2019 7:18:11 AM
160525,7,FF07RKNA00,Kenai National Wildlife Refuge,Oncorhynchus kisutch,"Oncorhynchus kisutch (Walbaum, 1792)",161977,71770,Animals,Fish,Animalia,Chordata,Teleostei,,,Salmoniformes,,Salmonidae,Species,Oncorhynchus,Coho salmon or silver salmon,,Present,,, Seasonal Occurrence Uncertain,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,"http://ecos.fws.gov/ServCatFiles/reference/holding/2361, http://www.inaturalist.org/observations/4891214",,,,Script: Mark_Laker@fws.gov,6/5/2019 10:09:34 PM,FWSpec-199:matt_bowser@fws.gov,12/9/2019 7:17:01 AM
160532,7,FF07RKNA00,Kenai National Wildlife Refuge,Salvelinus,"Salvelinus Richardson, 1836",161999,71794,Animals,Fish,Animalia,Chordata,Teleostei,,,Salmoniformes,,Salmonidae,Genus,Salvelinus,Chars,,Present,,, Seasonal Occurrence Uncertain,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,,,,,Script: Mark_Laker@fws.gov,6/5/2019 10:09:40 PM,Script: Mark_Laker@fws.gov,6/5/2019 10:09:40 PM
160533,7,FF07RKNA00,Kenai National Wildlife Refuge,Salvelinus malma,"Salvelinus malma (Walbaum in Artedi, 1792)",162000,71798,Animals,Fish,Animalia,Chordata,Teleostei,,,Salmoniformes,,Salmonidae,Species,Salvelinus,Dolly varden,,Present,,, Seasonal Occurrence Uncertain,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,"http://www.inaturalist.org/observations/811997, http://www.sf.adfg.state.ak.us/fedaidpdfs/fred.122.pdf",,,,Script: Mark_Laker@fws.gov,6/5/2019 10:09:40 PM,FWSpec-199:matt_bowser@fws.gov,12/9/2019 7:17:01 AM
