Region,Refuge Code,Refuge Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Refuge Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Origin,Origin Tags,Abundance,FWS Tags,Refuge Tags,Internal Refuge Tags,ExternalLinks,State Status
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Afrosoricida,,594612,709660,Active,Afrosoricida,Insectivores,Insectivora,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Artiodactyla,,95039,180692,Active,Artiodactyla,Artiodactyls,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Artiodactyla,Bovidae,95053,180704,Active,Bovidae,Sheep,Ixalus,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Artiodactyla,Bovidae,95062,180712,Active,Oreamnos,Mountain goats,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Artiodactyla,Bovidae,95063,180713,Active,Oreamnos americanus,Mountain goat,Oreamnos americanus dorsatus,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,https://doi.org/10.1002/jwmg.21691,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Artiodactyla,Bovidae,95058,180709,Active,Ovis,Sheep,Aries,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Artiodactyla,Bovidae,95060,180710,Active,Ovis dalli,Dall's sheep,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Artiodactyla,Cervidae,95051,180702,Active,Alces,Moose,Alcelaphus,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Artiodactyla,Cervidae,95052,180703,Active,Alces alces,Moose,Cervus alces,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Artiodactyla,Cervidae,95040,180693,Active,Cervidae,Cervids,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,Sitka black-tailed deer,,Accepted,No,Approved,Present,,Non-native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Artiodactyla,Cervidae,95049,180700,Active,Rangifer,Reindeer,Rangifer,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Artiodactyla,Cervidae,95050,180701,Active,Rangifer tarandus,Caribou,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Carnivora,,92616,180539,Active,Carnivora,Carnivores,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Carnivora,Canidae,93335,180594,Active,Canidae,Wolves,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Carnivora,Canidae,93336,180595,Active,Canis,Jackals,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Accepted,No,Approved,Present,,Non-native,,Unknown,Seasonal Occurrence Uncertain,,,,
