category,latin,rank,origin,authority,tsn,accepted_tsn,accepted_latin,duplicate,usage,unaccept_reason,comments,vernacularName,dateFirstObserved,extirpated,inaturalistobs,arctosGUID,notes_distribution,notes_taxonomic,notes_biology,kingdom,division,phylum,class,order,suborder,family,subfamily,genus
Arthropods,Eriophyidae sp. BOLD:ADI3742,BOLD BIN,,,,,,,,,,,,,,,,,,Animalia,,Arthropoda,Arachnida,Trombidiformes,Prostigmata,Eriophyidae,,
Arthropods,Eriophyidae sp. BOLD:ACL4044,BOLD BIN,,,,,,,,,,,,,,,,,,Animalia,,Arthropoda,Arachnida,Trombidiformes,Prostigmata,Eriophyidae,,
Arthropods,Erythraeus tonsus,Species,Native,"(L. Koch, 1879)",-619186,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Arachnida,Trombidiformes,,Erythraeidae,,Erythraeus
Arthropods,Petridiobius sp. BOLD:AAG6185,Species,Native,,-620168,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Archaeognatha,,Machilidae,Petrobiinae,Petridiobius
Arthropods,Sericoda bembidioides,Species,Native,,110241,NA,,,,,,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Adephaga,Carabidae,,Sericoda
Arthropods,Sericoda bogemanni,Species,Native,,932467,NA,,,,,,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Adephaga,Carabidae,,Sericoda
Arthropods,Chrysomela lapponica,Species,Native,"Linnaeus, 1758",-620160,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Chrysomelidae,Chrysomelinae,Chrysomela
Arthropods,Phratora hudsoniana,Species,Native,,-618112,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Chrysomelidae,Chrysomelinae,Phratora
Arthropods,Atomaria fimetarii,Species,Native,,-618270,NA,,,invalid,"not reviewed, USFWS record",Collected for Kenai NWR Long Term Ecological Monitoring Program,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Cryptophagidae,,Atomaria
Arthropods,Dryocoetes affaber,Species,Native,"(Mannerheim, 1852)",-619247,NA,,,invalid,"not reviewed, USFWS record",,,,NA,NA,,,,,Animalia,,Arthropoda,Insecta,Coleoptera,Polyphaga,Curculionidae,Scolytinae,Dryocoetes
