"transferred_to_FWSpecies_date","transfer_notes","Valid_in_Gbif_refuge_YY_NN_","Found_in_FWSpecies_Y_N_","Category","Scientific_Name","rank","Origin","authority","TSN","accepted_tsn","accepted_latin","duplicate","usage","unaccept_reason","comments","vernacularName","dateFirstObserved","extirpated","inaturalistobs","arctosGUID","notes_distribution","notes_taxonomic","notes_biology","kingdom","division","phylum","class","Order","suborder","Family","subfamily","genus","evidence_URL"
"","This and other provisional names cannot be added to FWSpecies' taxonomy at this time.","","","Arthropods","Eriophyidae sp. BOLD:ADI3742","unranked","","",NA,NA,"",NA,"","","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Arachnida","Trombidiformes","Prostigmata","Eriophyidae","","",NA
"","This and other provisional names cannot be added to FWSpecies' taxonomy at this time.","","","Arthropods","Eriophyidae sp. BOLD:ACL4044","unranked","","",NA,NA,"",NA,"","","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Arachnida","Trombidiformes","Prostigmata","Eriophyidae","","",NA
"","This and other provisional names cannot be added to FWSpecies' taxonomy at this time.","","","Arthropods","Petridiobius sp. BOLD:AAG6185","Species","Native","","-620168",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Archaeognatha","","Machilidae","Petrobiinae","Petridiobius",NA
"","","","","Arthropods","Leptophloeus sp.","Species","Native","","-619970",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Coleoptera","Polyphaga","Laemophloeidae","","Leptophloeus",NA
"","","","","Arthropods","Ellychnia sp.","Species","Native","","-620099",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","Alaskan specimens of \itaxon{Ellychnia} have been assigned to BOLD BIN BOLD:AAF4976\footnote{\url{http://bins.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAF4976}}, a BIN containing multiple named species. Specimens of \itaxon{Ellychnia} collected from the Refuge likely belong to this BIN.","","Animalia","","Arthropoda","Insecta","Coleoptera","Polyphaga","Lampyridae","Lampyrinae","Ellychnia",NA
"","","YY","N","Arthropods","Dinaraea pacei","Species","Native","Klimaszewski and Langor, 2011","-620169",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","This species is widely distributed from Alaska to eastern Canada \citep{Klimaszewskietal2013}.","","","Animalia","","Arthropoda","Insecta","Coleoptera","Polyphaga","Staphylinidae","Aleocharinae","Dinaraea",NA
"","","","","Arthropods","Pelecomalium sp.","Species","Native","(Mannerheim, 1843)","-618625",NA,"",NA,"invalid","not reviewed, USFWS record","LTEMP.  Determination tentative.","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Coleoptera","Polyphaga","Staphylinidae","","Pelecomalium",NA
"","Issues:�Basionym relation derived","Y?","N","Arthropods","Peltis fraterna","Species","Native","","-620120",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Coleoptera","Polyphaga","Trogossitidae","","Peltis",NA
"","Valid. Not found in FWSp. ","YY","N","Arthropods","Peltis septentrionalis","Species","Native","","-620121",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Coleoptera","Polyphaga","Trogossitidae","","Peltis",NA
"","","YY","N","Arthropods","Liriomyza equiseti","Species","Native","De Meijere, 1924","-620141",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Agromyzidae","Phytomyzinae","Liriomyza",NA
"","","YY","N","Arthropods","Chirosia similata","Species","Native","","-620136",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","Larvae feed in rolled fronds of \itaxon{Dryopteris!expansa}\footnote{\url{http://arctos.database.museum/guid/KNWR:Ento:11152}}.","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Anthomyiidae","Anthomyiinae","Chirosia",NA
"","","YY","N","Arthropods","Anthomyza gilviventris","Species","Native","","-619892",NA,"",NA,"invalid","","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Anthomyzidae","","Anthomyza",NA
"","","YY","N","Arthropods","Anthomyza pengellyi","Species","Native","","-619894",NA,"",NA,"invalid","","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Anthomyzidae","","Anthomyza",NA
"","","YY","N","Arthropods","Anthomyza vockerothi","Species","Native","","-619893",NA,"",NA,"invalid","","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Anthomyzidae","","Anthomyza",NA
"","","YY","N","Arthropods","Carexomyza caricis","Species","Native","","-619896",NA,"",NA,"invalid","","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Anthomyzidae","","Carexomyza",NA
"","","YY","N","Arthropods","Bibio rufipes","Species","Native","(Zetterstedt, 1838)","-619194",NA,"",NA,"invalid","not reviewed, USFWS record","Determination by John Skartveit.  The species has traditionally been known as Bibio columbiaensis or Bibio velorum.","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Nematocera","Bibionidae","","Bibio",NA
"","","YY","N","Arthropods","Dilophus femoratus","Species","Native","","-618221",NA,"",NA,"invalid","not reviewed, USFWS record","Collected for Kenai NWR Long Term Ecological Monitoring Program","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Nematocera","Bibionidae","","Dilophus",NA
"","","","","Arthropods","Bolitophila sp. bold:aav0668","Species","Native","","-619910",NA,"",NA,"invalid","not reviewed, USFWS record","{http://dx.doi.org/10.7299/X7QC03NB}","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Nematocera","Bolithophilidae","","Bolitophila",NA
"","","","","Arthropods","Asphondylia ? sp.","Species","Native","","-620140",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","The identification was based on the gall: \itaxon{Asphondylia!sambuci} galls buds of \itaxon{Sambucus}.","Larvae were found in winter buds of \itaxon{Sambucus!racemosa}.","Animalia","","Arthropoda","Insecta","Diptera","Nematocera","Cecidomyiidae","Cecidomyiinae","Asphondylia",NA
"","","","","Arthropods","Rabdophaga rosaria group sp. bold:acz0652","Species","Native","","-620054",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","This gall midge induce rosette galls on \itaxon{Salix!barclayi}, \itaxon{Salix!commutata}, and \itaxon{Salix!sitchensis}.","Animalia","","Arthropoda","Insecta","Diptera","Nematocera","Cecidomyiidae","Cecidomyiinae","Rabdophaga",NA
"","","","","Arthropods","Rabdophaga rosaria group sp. bold:ada9342","Species","Native","","-620072",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","This is close to and possibly conspecific with \itaxon{Rabdophaga!rosaria}.","These flies form rosette galls on \itaxon{Salix!fuscescens} and \itaxon{Salix!pulchra}.","Animalia","","Arthropoda","Insecta","Diptera","Nematocera","Cecidomyiidae","Cecidomyiinae","Rabdophaga",NA
"","","","","Arthropods","Rabdophaga sp. bold:ada6450","Species","Native","","-620139",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","This midge forms stem galls on \itaxon{Salix!barclayi}.","Animalia","","Arthropoda","Insecta","Diptera","Nematocera","Cecidomyiidae","Cecidomyiinae","Rabdophaga",NA
"","","","","Arthropods","Rabdophaga strobilina group sp. bold:ada7792","Species","Native","","-620135",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","These are similar to and possibly the same as \itaxon{Rabdophaga!strobilina} or \itaxon{Rabdophaga schreiteri}.","These are inquilines in rosette galls made by \itaxon{Rabdophaga!rosaria group sp. bold:acz0652}.","Animalia","","Arthropoda","Insecta","Diptera","Nematocera","Cecidomyiidae","Cecidomyiinae","Rabdophaga",NA
"","","YN","N","Arthropods","Eukiefferiella ilkleyensis","Species","Native","","-619181",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Nematocera","Chironomidae","Orthocladiinae","Eukiefferiella",NA
"","","YN","Y","Arthropods","Heterotrissocladius boltoni","Species","Native","","-618337",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Nematocera","Chironomidae","Orthocladiinae","Heterotrissocladius",NA
"","","YN","Y","Arthropods","Krenosmittia halvorseni","Species","Native","","-618338",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Nematocera","Chironomidae","Orthocladiinae","Krenosmittia",NA
"","Spelled 'nigripila' (google).","YN","Y","Arthropods","Micropsectra nigriperla","Species","Native","","-618339",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Nematocera","Chironomidae","Chironominae","Micropsectra",NA
"","Spelled 'frigidus' (google).","YN","Y","Arthropods","Orthocladius frigidis","Species","Native","","-618340",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Nematocera","Chironomidae","Orthocladiinae","Orthocladius",NA
"","No physical occurrences listed.","YN","Y","Arthropods","Orthocladius luteipes","Species","Native","","-618341",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Nematocera","Chironomidae","Orthocladiinae","Orthocladius",NA
"","Spelled 'obumbratus' (google).","YN","Y","Arthropods","Orthocladius odumbratus","Species","Native","","-618342",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Nematocera","Chironomidae","Orthocladiinae","Orthocladius",NA
"","Nothing even close to 'pedestais' (google)","NN","N","Arthropods","Orthocladius pedestais","Species","Native","","-618343",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Nematocera","Chironomidae","Orthocladiinae","Orthocladius",NA
"","No physical occurrences listed.","YN","N","Arthropods","Parorthocladius nigritus","Species","Native","","-618344",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Nematocera","Chironomidae","Orthocladiinae","Parorthocladius",NA
"","","YN","Y","Arthropods","Polypedilum albicorne","Species","Native","","-618345",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Nematocera","Chironomidae","Chironominae","Polypedilum",NA
"","","","","Arthropods","Clusiodes sp. bold:acd9910","Species","Native","","-620147",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Clusiidae","Clusiodinae","Clusiodes",NA
"","","YY","N","Arthropods","Dolichopus latipennis","Species","Native","Fallén, 1823","-619349",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Dolichopodidae","Dolichopodinae","Dolichopus",NA
"","","YY","N","Arthropods","Empis lucida","Species","Native","Zetterstedt, 1838","-619304",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Empididae","Empidinae","Empis",NA
"","","YY","N","Arthropods","Rhamphomyia acuta","Species","Native","","-618362",NA,"",NA,"invalid","not reviewed, USFWS record","Reported from the Kenai National Wildlife Refuge (Sterling Highway at Russian River) by Barták (2002). Barták, M. Nearctic species of Rhamphomyia subgenus Megacyttarus (Diptera: Empididae) Acta Universitatis Carolinae Biologica, 2002, 46, 3-215.","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Empididae","Empidinae","Rhamphomyia",NA
"","No physical occurrences listed.","YN","N","Arthropods","Rhamphomyia auricoma","Species","Native","Barták, 2002","-618363",NA,"",NA,"invalid","not reviewed, USFWS record","Reported from Sterling Highway at Russian River by Barták (2002). Barták, M. Nearctic species of Rhamphomyia subgenus Megacyttarus (Diptera: Empididae) Acta Universitatis Carolinae Biologica, 2002, 46, 3-215.","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Empididae","Empidinae","Rhamphomyia",NA
"","No physical occurrences listed.","YN","N","Arthropods","Rhamphomyia latiscaura","Species","Native","Barták, 2002","-618364",NA,"",NA,"invalid","not reviewed, USFWS record","Reported from Russian River campground by Barták (2002). Barták, M. Nearctic species of Rhamphomyia subgenus Megacyttarus (Diptera: Empididae) Acta Universitatis Carolinae Biologica, 2002, 46, 3-215.","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Empididae","Empidinae","Rhamphomyia",NA
"","","YY","N","Arthropods","Rhamphomyia praecipua","Species","Native","Bartak, 2002","-619306",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Empididae","Empidinae","Rhamphomyia",NA
"","","YY","N","Arthropods","Rhamphomyia pusilla","Species","Native","Zetterstedt, 1838","-619307",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Empididae","Empidinae","Rhamphomyia",NA
"","","YY","N","Arthropods","Rhamphomyia rivalis","Species","Native","Bartak, 2002","-619305",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Empididae","Empidinae","Rhamphomyia",NA
"","","YY","N","Arthropods","Allotrichoma bezzii","Species","Native","Becker, 1896","-619924",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Ephydridae","Psilopinae","Allotrichoma",NA
"","Issues:�Conflicting basionym combination","Y?","N","Arthropods","Gymnoclasiopa bohemanni","Species","Native","(Becker, 1896)","-619928",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Ephydridae","","Gymnoclasiopa",NA
"","","","","Arthropods","Hydrellia sp. iv","Species","Native","","-619920",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Ephydridae","Hydrelliinae","Hydrellia",NA
"","defectum' not found on Gbif (was on google), but 'defecta' was. Neither found on FWSp.","??","N","Arthropods","Philotelma defectum","Species","Native","(Haliday)","-619922",NA,"",NA,"invalid","not reviewed, USFWS record","{http://dx.doi.org/10.7299/X7KH0NGV}","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Ephydridae","Ephydrinae","Philotelma",NA
"","","","","Arthropods","Scoliocentra sp. bold:aau5513","Species","Native","","-620104",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Diptera","Brachycera","Heleomyzidae","Heleomyzinae","Scoliocentra",NA
