SpeciesID,RegionNumber,UnitCode,RefugeName,SciName,SciWAuthority,ExternalSourceCode,TaxonCode,TaxonCategoryGroup,TaxonCategoryName,TaxonKingdom,TaxonPhylum,TaxonClass,TaxonSubClass,TaxonInfraclass,TaxonOrder,TaxonSubOrder,TaxonFamily,TaxonRank,TaxonGenus,RefugeCommonNames,Synonyms,Occurrence,OccurrenceTags,OccurrenceNote,Seasonality,Origin,OriginTags,OriginNote,Abundance,AbundanceNote,SpringAbundance,SpringAbundanceNote,SummerAbundance,SummerAbundanceNote,FallAbundance,FallAbundanceNote,WinterAbundance,WinterAbundanceNote,Management,RecordStatus,RefugeAcceptedStatus,Sensitive,SensitivityNote,ExternalLinks,SpeciesNote,RefugeTags,SSOC_StatusLookup,CreatedBy,CreatedDate,LastModifiedBy,LastModifiedDate
200162,7,FF07RKNA00,Kenai National Wildlife Refuge,Quedionuchus plagiatus,"Quedionuchus plagiatus (Mannerheim, 1843)",,1210520,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Staphylinidae,Species,Quedionuchus,,,Present,,,,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAMObs:Ento:33380,,,,matt_bowser@fws.gov,12/23/2019 10:08:06 AM,matt_bowser@fws.gov,12/23/2019 10:16:33 AM
200183,7,FF07RKNA00,Kenai National Wildlife Refuge,Chrysomela lapponica,"Chrysomela lapponica Linnaeus, 1758",,1215796,Animals,Insect,Animalia,,,,,Coleoptera,,Chrysomelidae,Species,,,,Present,,,,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,http://bins.boldsystems.org/index.php/Public_RecordView?processid=MOBIL5366-17,,,,matt_bowser@fws.gov,1/17/2020 6:12:53 PM,matt_bowser@fws.gov,1/17/2020 6:13:21 PM
211495,7,FF07RKNA00,Kenai National Wildlife Refuge,Chaitophorus populifolii,,-739112,654758,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Hemiptera,Sternorrhyncha,Aphididae,Species,,,,Present,,,,Native,,,,,,,,,,,,,,Approved,Accepted,No,,https://www.ebi.ac.uk/ena/data/view/KR034024,,,,jake_danner@fws.gov,5/8/2020 10:22:35 AM,jake_danner@fws.gov,6/10/2020 1:13:03 PM
211669,7,FF07RKNA00,Kenai National Wildlife Refuge,Geopyxis carbonaria,Geopyxis carbonaria (Alb. & Schwein.) Sacc. 1889,,992587,Fungi,Fungi,Fungi,Ascomycota,Pezizomycetes,Pezizomycetidae,,Pezizales,,Pyronemataceae,Species,Geopyxis,,,Present,,,,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,https://www.inaturalist.org/observations/46393003,,,,matt_bowser@fws.gov,5/18/2020 11:43:32 AM,matt_bowser@fws.gov,5/18/2020 11:43:33 AM
211960,7,FF07RKNA00,Kenai National Wildlife Refuge,Amphipsylla pollionis,,-742842,664893,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Siphonaptera,,Leptopsyllidae,Species,,,,Present,,,,Native,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Ento:6396,,,,jake_danner@fws.gov,6/15/2020 10:42:06 AM,jake_danner@fws.gov,6/15/2020 10:42:07 AM
212018,7,FF07RKNA00,Kenai National Wildlife Refuge,Gnathacmaeops pratensis,"Gnathacmaeops pratensis (Laicharting, 1784)",702775,578977,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Coleoptera,Polyphaga,Cerambycidae,Species,Gnathacmaeops,,,Present,,,,Native,,,Common,,,,,,,,,,,Approved,Accepted,No,,"https://www.inaturalist.org/observations/50058253, https://www.inaturalist.org/observations/6904175",,,,matt_bowser@fws.gov,6/19/2020 9:02:06 AM,matt_bowser@fws.gov,6/19/2020 9:02:07 AM
225752,7,FF07RKNA00,Kenai National Wildlife Refuge,Veronica peregrina,Veronica peregrina L.,33421,136694,Plants,Vascular Plant,Plantae,Tracheophyta,Magnoliopsida,,,Lamiales,,Plantaginaceae,Species,Veronica,,,Present,,,,Non-native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,https://www.inaturalist.org/observations/57466121,,,,matt_bowser@fws.gov,8/25/2020 9:43:34 AM,matt_bowser@fws.gov,8/25/2020 9:43:34 AM
225778,7,FF07RKNA00,Kenai National Wildlife Refuge,Spirodela polyrhiza,Spirodela polyrhiza (L.) Schleid.,42599,149504,Plants,Vascular Plant,Plantae,Tracheophyta,Magnoliopsida,,,Alismatales,,Araceae,Species,Spirodela,,,Present,,,,Origin Uncertain,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,https://www.inaturalist.org/observations/59163202,,,,matt_bowser@fws.gov,9/10/2020 5:24:54 PM,matt_bowser@fws.gov,9/10/2020 5:24:55 PM
225779,7,FF07RKNA00,Kenai National Wildlife Refuge,Clavaria rosea,Clavaria rosea Fr.,,1125350,Fungi,Fungi,Fungi,Basidiomycota,Agaricomycetes,Agaricomycetidae,,Agaricales,,Clavariaceae,Species,Clavaria,"rosy club coral, rose spindles",,Present,,,,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,https://www.inaturalist.org/observations/3962205,,,,matt_bowser@fws.gov,9/16/2020 9:52:27 AM,matt_bowser@fws.gov,9/16/2020 9:54:58 AM
240010,7,FF07RKNA00,Kenai National Wildlife Refuge,Themira pusilla,"Themira pusilla (Zetterstedt, 1847)",145051,47573,Animals,Insect,Animalia,Arthropoda,Insecta,Pterygota,Neoptera,Diptera,Brachycera,Sepsidae,Species,Themira,,,,,,,,,,,,,,,,,,,,,Draft,Undecided,No,,https://arctos.database.museum/guid/KNWR:Ento:10016,,,,jake_danner@fws.gov,10/26/2020 10:40:57 AM,jake_danner@fws.gov,10/26/2020 10:40:58 AM
