SpeciesID,RegionNumber,UnitCode,RefugeName,SciName,SciWAuthority,ExternalSourceCode,TaxonCode,TaxonCategoryGroup,TaxonCategoryName,TaxonKingdom,TaxonPhylum,TaxonClass,TaxonSubClass,TaxonInfraclass,TaxonOrder,TaxonSubOrder,TaxonFamily,TaxonRank,TaxonGenus,RefugeCommonNames,Synonyms,Occurrence,OccurrenceTags,OccurrenceNote,Seasonality,Origin,OriginTags,OriginNote,Abundance,AbundanceNote,SpringAbundance,SpringAbundanceNote,SummerAbundance,SummerAbundanceNote,FallAbundance,FallAbundanceNote,WinterAbundance,WinterAbundanceNote,Management,RecordStatus,RefugeAcceptedStatus,Sensitive,SensitivityNote,ExternalLinks,SpeciesNote,RefugeTags,SSOC_StatusLookup,CreatedBy,CreatedDate,LastModifiedBy,LastModifiedDate
137478,7,FF07RKNA00,Kenai National Wildlife Refuge,Delphinium glaucum,Delphinium glaucum S. Watson,18458,91092,Plants,Vascular Plant,Plantae,Tracheophyta,Magnoliopsida,,,Ranunculales,,Ranunculaceae,Species,Delphinium,Mountain larkspur,"177321, 177329, 204726, 229343, 88560",Present,,,,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,http://www.inaturalist.org/observations/114307,,,,Script: Mark_Laker@fws.gov,6/5/2019 6:49:15 PM,FWSpec-199:matt_bowser@fws.gov,12/9/2019 7:17:56 AM
158879,7,FF07RKNA00,Kenai National Wildlife Refuge,Arnica chamissonis,Arnica chamissonis Less.,36560,141479,Plants,Vascular Plant,Plantae,Tracheophyta,Magnoliopsida,,,Asterales,,Asteraceae,Species,Arnica,Chamisso arnica,"170450, 170460, 206468, 206470, 221231, 221233, 221245, 221899, 221901, 221903, 221905, 221907, 221910, 293770, 293772, 293774, 293776, 293778, 293780, 94144, 94145",Present,,,,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,,,,,Script: Mark_Laker@fws.gov,6/5/2019 9:48:11 PM,Script: Mark_Laker@fws.gov,6/5/2019 9:48:28 PM
164688,7,FF07RKNA00,Kenai National Wildlife Refuge,Aruncus dioicus,Aruncus dioicus (Walter) Fernald,25130,129607,Plants,Vascular Plant,Plantae,Tracheophyta,Magnoliopsida,,,Rosales,,Rosaceae,Species,Aruncus,goat's beard,,Present,,,,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,"http://arctos.database.museum/guid/KNWR:Herb:699, http://www.inaturalist.org/observations/6721444",,,,Script: Mark_Laker@fws.gov,6/5/2019 10:55:41 PM,FWSpec-199:matt_bowser@fws.gov,12/9/2019 7:14:32 AM
169728,7,FF07RKNA00,Kenai National Wildlife Refuge,Pedicularis labradorica,Pedicularis labradorica Wirsing,33379,136646,Plants,Vascular Plant,Plantae,Tracheophyta,Magnoliopsida,,,Lamiales,,Orobanchaceae,Species,Pedicularis,Labrador lousewort,"195738, 214300, 214302",Present,,,,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,,,,,Script: Mark_Laker@fws.gov,6/5/2019 11:41:45 PM,Script: Mark_Laker@fws.gov,6/5/2019 11:41:46 PM
171609,7,FF07RKNA00,Kenai National Wildlife Refuge,Leymus,Leymus Hochst.,500380,148993,Plants,Vascular Plant,Plantae,Tracheophyta,Magnoliopsida,,,Poales,,Poaceae,Genus,Leymus,,"852997, 852999, 855085",Present,,,,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,,,,,Script: Mark_Laker@fws.gov,6/6/2019 12:00:50 AM,Script: Mark_Laker@fws.gov,6/6/2019 12:00:53 AM
188437,7,FF07RKNA00,Kenai National Wildlife Refuge,Sagittaria cuneata,Sagittaria cuneata E. Sheld.,38917,140802,Plants,Vascular Plant,Plantae,Tracheophyta,Magnoliopsida,,,Alismatales,,Alismataceae,Species,Sagittaria,,,Present,,,,Native,,,,,,,,,,,,,,Approved,Accepted,No,,https://www.inaturalist.org/observations/33451572,,,,matt_bowser@fws.gov,10/24/2019 2:22:22 PM,matt_bowser@fws.gov,10/24/2019 2:22:33 PM
211674,7,FF07RKNA00,Kenai National Wildlife Refuge,Alnus viridis,Alnus viridis (Chaix) DC.,181892,92019,Plants,Vascular Plant,Plantae,Tracheophyta,Magnoliopsida,,,Fagales,,Betulaceae,Species,Alnus,,,Present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWRObs:Herb:749,,,,jake_danner@fws.gov,5/18/2020 1:30:22 PM,jake_danner@fws.gov,5/18/2020 1:30:23 PM
211666,7,FF07RKNA00,Kenai National Wildlife Refuge,Deschampsia caespitosa,Deschampsia caespitosa (L.) P. Beauv.,40586,143619,Plants,Vascular Plant,Plantae,Tracheophyta,Magnoliopsida,,,Poales,,Poaceae,Species,Deschampsia,,,Present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Herb:1481,,,,jake_danner@fws.gov,5/12/2020 11:20:19 AM,jake_danner@fws.gov,5/12/2020 11:20:19 AM
211668,7,FF07RKNA00,Kenai National Wildlife Refuge,Deschampsia beringensis,Deschampsia beringensis Hultén,512182,178359,Plants,Vascular Plant,Plantae,Tracheophyta,Magnoliopsida,,,Poales,,Poaceae,Species,Deschampsia,,,Present,,,,Native,,,Unknown,,,,,,,,,,,Approved,Accepted,No,,"http://arctos.database.museum/guid/UAM:Herb:26940, http://arctos.database.museum/guid/UAM:Herb:57429",,,,matt_bowser@fws.gov,5/14/2020 2:50:17 PM,matt_bowser@fws.gov,5/14/2020 2:50:18 PM
211655,7,FF07RKNA00,Kenai National Wildlife Refuge,Artemisia tilesii,Artemisia tilesii Ledeb.,35440,133575,Plants,Vascular Plant,Plantae,Tracheophyta,Magnoliopsida,,,Asterales,,Asteraceae,Species,Artemisia,,,Present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,https://www.inaturalist.org/observations/2138363,,,,jake_danner@fws.gov,5/11/2020 5:29:32 PM,jake_danner@fws.gov,5/11/2020 5:29:32 PM
211660,7,FF07RKNA00,Kenai National Wildlife Refuge,Lotus corniculatus,Lotus corniculatus L.,26362,128212,Plants,Vascular Plant,Plantae,Tracheophyta,Magnoliopsida,,,Fabales,,Fabaceae,Species,Lotus,,,Present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,https://www.inaturalist.org/observations/15434464,,,,jake_danner@fws.gov,5/11/2020 5:56:07 PM,jake_danner@fws.gov,5/11/2020 5:56:07 PM
211657,7,FF07RKNA00,Kenai National Wildlife Refuge,Rumex occidentalis,Rumex occidentalis S. Watson,20947,117316,Plants,Vascular Plant,Plantae,Tracheophyta,Magnoliopsida,,,Caryophyllales,,Polygonaceae,Species,Rumex,,,Present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Herb:10491,,,,jake_danner@fws.gov,5/11/2020 5:47:47 PM,jake_danner@fws.gov,5/11/2020 5:47:47 PM
211658,7,FF07RKNA00,Kenai National Wildlife Refuge,Arctous alpina,Arctous alpina (L.) Nied.,509023,169151,Plants,Vascular Plant,Plantae,Tracheophyta,Magnoliopsida,,,Ericales,,Ericaceae,Species,Arctous,,,Present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/UAM:Herb:57313,,,,jake_danner@fws.gov,5/11/2020 5:50:32 PM,jake_danner@fws.gov,5/11/2020 5:50:32 PM
211652,7,FF07RKNA00,Kenai National Wildlife Refuge,Tetralophozia setiformis,Tetralophozia setiformis (Ehrh.) Schljakov,1108116,1202131,Plants,Non-vascular Plant,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniidae,,Jungermanniales,Cephaloziineae,Anastrophyllaceae,Species,Tetralophozia,,,Present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://sweetgum.nybg.org/science/vh/specimen-details/?irn=461062,,,,jake_danner@fws.gov,5/11/2020 5:20:37 PM,jake_danner@fws.gov,5/11/2020 5:20:37 PM
211661,7,FF07RKNA00,Kenai National Wildlife Refuge,Melilotus alba,Melilotus alba Medik.,26149,126512,Plants,Vascular Plant,Plantae,Tracheophyta,Magnoliopsida,,,Fabales,,Fabaceae,Species,Melilotus,,,Present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Herb:10744,,,,jake_danner@fws.gov,5/12/2020 10:53:36 AM,jake_danner@fws.gov,5/12/2020 10:53:37 AM
211656,7,FF07RKNA00,Kenai National Wildlife Refuge,Bistorta vivipara,Bistorta vivipara (L.) Gray,509553,171768,Plants,Vascular Plant,Plantae,Tracheophyta,Magnoliopsida,,,Caryophyllales,,Polygonaceae,Species,Bistorta,,,Present,,,,,,,,,,,,,,,,,,Approved,Accepted,No,,http://arctos.database.museum/guid/KNWR:Herb:10363,,,,jake_danner@fws.gov,5/11/2020 5:45:04 PM,jake_danner@fws.gov,5/11/2020 5:45:04 PM
