"SciName","SpeciesNote"
"Acarospora smaragdula",""
"Achillea ptarmica","1"
"Acilius semisulcatus",""
"Actaea rubra",""
"Aedes diantaeus",""
"Aeshna juncea",""
"Agabus anthracinus",""
"Agabus bifarius",""
"Agabus confinis",""
"Agabus inscriptus",""
"Agabus semipunctatus",""
"Agabus tristis",""
"Agrostis capillaris",""
"Agrostis mertensii",""
"Agrostis scabra",""
"Alopecurus geniculatus",""
"Alopecurus pratensis","This species is native to the Old World and parts of North America, but in Alaska it has been introduced \citep{Klein2011}."
"Amblystegium serpens",""
"Anastrophyllum minutum",""
"Anemone parviflora",""
"Aneura pinguis",""
"Angelica genuflexa",""
"Angelica lucida",""
"Anisotoma globososa",""
"Anser cygnoides","Observed at Watson Lake campground|8/20/2010|1"
"Anthoxanthum monticola",""
"Anticlea elegans","This species has been observed by Matt Bowser on the Skyline Trail, Mystery Hills."
"Arcella arenaria",""
"Archiearis infans",""
"Arctagrostis latifolia",""
"Arctophila fulva",""
"Arctopoa eminens","Common at Chickaloon Flats."
"Arctous rubra",""
"Arnica chamissonis",""
"Arnica lessingii",""
"Asahinea chrysantha",""
"Asperugo procumbens","1"
"Aspicilia myrinii",""
"Astragalus polaris",""
"Athyrium filix-femina",""
"Aulacomnium androgynum",""
"Aulacomnium palustre",""
"Aulacomnium turgidum",""
"Aythya americana",""
"Baccha elongata",""
"Bacidia rosella",""
"Banksiola crotchi",""
"Barbarea orthoceras",""
"Barbilophozia attenuata",""
"Barbilophozia barbata",""
"Barbilophozia hatcheri",""
"Barbilophozia kunzeana",""
"Barbilophozia lycopodioides",""
"Barbilophozia quadriloba",""
"Bartramia longicauda",""
"Bartramia pomiformis",""
"Bellemerea alpina",""
"Bellemerea subsorediza",""
"Betula glandulosa",""
"Betula pendula","1"
"Biatora vernalis",""
"Blepharostoma trichophyllum",""
"Botrychium boreale",""
"Botrychium lunaria",""
"Brachyopa ferruginea","1400811"
"Brachyramphus marmoratus","Tustumena Lake and Skilak Lake in Fall"
"Brachythecium albicans",""
"Brachythecium calcareum",""
"Brachythecium oedipodium",""
"Brachythecium oxycladon",""
"Brachythecium reflexum",""
"Brachythecium rutabulum",""
"Brachythecium salebrosum",""
"Brachythecium velutinum",""
"Brassica rapa",""
"Brodoa oroarctica",""
"Bromus inermis",""
"Bromus tectorum","1"
"Bryoria capillaris",""
"Bryoria carlottae",""
"Bryoria fremontii",""
"Bryoria fuscescens",""
"Bryoria lanestris",""
"Bryoria nitidula",""
"Bryoria pseudofuscescens",""
"Bryoria simplicior",""
"Bryum caespiticium",""
"Bryum weigelii",""
"Buellia disciformis",""
"Buellia griseovirens",""
"Buellia punctata",""
"Calamagrostis canadensis",""
"Calliergon cordifolium",""
"Calliergon giganteum",""
"Calliergon stramineum",""
"Callitriche palustris",""
"Caloplaca nivalis",""
"Caloplaca tetraspora",""
"Caltha palustris",""
"Calypogeia neesiana",""
"Campanula lasiocarpa",""
"Campylium hispidulum",""
"Campylium stellatum",""
"Candelariella terrigena",""
"Candelariella xanthostigma",""
"Canis lupus",""
"Capsella bursa-pastoris",""
"Cardamine bellidifolia",""
"Cardamine pratensis",""
"Carex bigelowii",""
"Carex brunnescens",""
"Carex canescens",""
"Carex chordorrhiza",""
"Carex deweyana",""
"Carex dioica",""
"Carex disperma",""
"Carex gynocrates",""
"Carex interior",""
"Carex laeviculmis",""
"Carex lasiocarpa",""
"Carex leptalea",""
"Carex limosa",""
"Carex livida",""
"Carex loliacea",""
"Carex lyngbyei",""
"Carex norvegica",""
"Carex pluriflora",""
"Carex podocarpa",""
"Carex preslii",""
"Carex pyrenaica",""
"Carex ramenskii",""
"Carex scirpoidea",""
"Carex spectabilis",""
"Carex tenuiflora",""
"Carex utriculata",""
"Carex viridula",""
"Cassiope lycopodioides",""
"Cassiope tetragona",""
"Catinaria atropurpurea",""
"Catops alpinus",""
"Catops basilaris",""
"Catops egenus",""
"Catops luridipennis",""
"Centropyxis aculeata",""
"Cephalozia lunulifolia",""
"Cerastium fischerianum",""
"Cerastium fontanum","AKEPIC uses C. fontanum ssp. vulgare (not ITIS accepted) for all C. fontanum."
"Ceratodon purpureus",""
"Cetraria commixta","Melanelia commixta (Nyl.) A. Thell is a common synonym"
"Cetraria nigricascens","Arctocetraria nigricascens (Nyl.) Karnefelt &amp; A. Thell is a common synonym."
"Chamaedaphne calyculata",""
"Chandonanthus setiformis",""
"Cheilosia lasiophthalmus",""
"Chenopodium berlandieri",""
"Chrysanthemum arcticum",""
"Chrysopa chi",""
"Chrysops nigripes",""
"Cicuta virosa",""
"Cimbex americana",""
"Cinclidium stygium",""
"Circaea alpina",""
"Cirsium arvense",""
"Cladonia acuminata",""
"Cladonia bacilliformis",""
"Cladonia bellidiflora",""
"Cladonia borealis",""
"Cladonia cariosa",""
"Cladonia carneola",""
"Cladonia cenotea",""
"Cladonia chlorophaea",""
"Cladonia coccifera",""
"Cladonia coniocraea",""
"Cladonia cornuta",""
"Cladonia crispata",""
"Cladonia deformis",""
"Cladonia digitata",""
"Cladonia ecmocyna",""
"Cladonia fimbriata",""
"Cladonia furcata",""
"Cladonia grayi",""
"Cladonia hookeri",""
"Cladonia kanewskii",""
"Cladonia macilenta",""
"Cladonia macroceras",""
"Cladonia macrophyllodes",""
"Cladonia maxima",""
"Cladonia metacorallifera",""
"Cladonia multiformis",""
"Cladonia ochrochlora",""
"Cladonia pleurota",""
"Cladonia pyxidata",""
"Cladonia rei",""
"Cladonia scabriuscula",""
"Cladonia squamosa",""
"Cladonia stricta",""
"Cladonia subfurcata",""
"Cladonia subulata",""
"Cladonia sulphurina",""
"Cladonia symphycarpa",""
"Cladonia umbricola",""
"Climacium dendroides",""
"Clinocera fuscipennis","Recorded from the Russian River by Sinclair (2008).Sinclair B. J. The systematics of New World Clinocera Meigen (Diptera: Empididae: Clinocerinae) NRC Research Press 2008"
"Cliostomum griffithii",""
"Coelocaulon aculeatum",""
"Collema furfuraceum",""
"Collema subflaccidum",""
"Conocephalum conicum",""
"Conostomum tetragonum",""
"Coptis trifolia",""
"Cornus canadensis",""
"Crepis tectorum",""
"Cricotopus annulator",""
"Cricotopus tremulus",""
"Cryphalus ruficollis",""
"Cryptantha torreyana","Mystery Creek at Picnic Lake pull-off, June 23. Also at cabin sites on Tustumena Lake. (Toby Burke, 27.August.2014)"
"Cryptogramma acrostichoides",""
"Cucujus clavipes","Common in dead cottonwood logs around the headquarters building."
"Cygnus columbianus","Migrant at Moose River in Spring"
"Cynodontium polycarpon",""
"Cynodontium strumiferum",""
"Cynomya cadaverina",""
"Cystopteris fragilis",""
"Cytisus scoparius","1"
"Dactylis glomerata",""
"Danthonia intermedia",""
"Dasiphora fruticosa",""
"Delia prostriata",""
"Delphinapterus leucas","Belugas feed in the Chickaloon River (https://redoubtreporter.wordpress.com/2010/07/28/winging-it-birds-bears-belugas-%E2%80%94-oh-my/)."
"Dendrodrilus rubidus",""
"Dermestes lardarius","We have collected these in the headquarters building."
"Desmatodon latifolius",""
"Dianthus deltoides",""
"Diapensia lapponica",""
"Dichodontium pellucidum",""
"Dicranella subulata",""
"Dicranoweisia crispula",""
"Dicranum acutifolium",""
"Dicranum brevifolium",""
"Dicranum elongatum",""
"Dicranum fuscescens",""
"Dicranum howellii",""
"Dicranum majus",""
"Dicranum montanum",""
"Dicranum polysetum",""
"Dicranum scoparium",""
"Dicranum tauricum",""
"Diplophyllum obtusifolium",""
"Diplophyllum taxifolium",""
"Distichium capillaceum",""
"Dolomedes triton",""
"Dorytomus leucophyllus","Collected for Kenai NWR Long Term Ecological Monitoring Program"
"Draba borealis",""
"Draba juvenilis",""
"Drepanocladus sendtneri",""
"Dryas drummondii",""
"Dryocoetes caryi",""
"Dryopteris fragrans","I collected one specimen from a population on rock outcrops on the south shore of Hidden Lake on July 28, 2007."
"Dytiscus circumcinctus",""
"Dytiscus dauricus",""
"Dytiscus harrisii",""
"Eleocharis palustris",""
"Elymus alaskanus",""
"Elymus repens",""
"Elymus sibiricus",""
"Elymus trachycaulus",""
"Elymus violaceus","Arctic wheatgrass is widespread in Alaska \citep{Skinneretal2012}.|This species occurs in the mountains and on tundra \citep{Skinneretal2012}."
"Enallagma boreale",""
"Enoplognatha intrepida","Collected on LTEMP."
"Epilobium anagallidifolium",""
"Epilobium ciliatum",""
"Epilobium lactiflorum",""
"Equisetum hyemale",""
"Equisetum palustre",""
"Equisetum pratense",""
"Equisetum sylvaticum",""
"Eremaeus translamellatus","Collected in 2007 from a nunatak in the Harding Icefield. Extracted from a soil core by Berlese funnel. Determination by Dr. Zoe Lindo."
"Eremocoris borealis",""
"Erigeron acris",""
"Erigeron peregrinus",""
"Eriophorum callitrix",""
"Eriophorum russeolum",""
"Eriophorum scheuchzeri",""
"Eriophorum vaginatum",""
"Eriophorum viridicarinatum",""
"Erpobdella punctata","{http://dx.doi.org/10.7299/X7959HQT}"
"Erysimum cheiranthoides","According to text and range maps of \citet{Hulten1968}, both native and non-native populations of this species exist on the Kenai Peninsula."
"Esox lucius","1"
"Euglypha ciliata",""
"Eukiefferiella claripennis",""
"Eukiefferiella coerulescens",""
"Eurhynchium oreganum",""
"Eurhynchium pulchellum",""
"Eurycercus longirostris","There is a specimen record from Watson Lake viewable via the LifeScanner app."
"Evarcha proszynskii",""
"Falco rusticolus",""
"Falco sparverius","One sighting near Scaup Lake (Swanson Satellite Project)"
"Fallopia convolvulus","1"
"Felis catus","In December 2016 a domestic cat was trapped on the Refuge in the Nikiski area.  Another domestic cat had been observed by Todd Eskelin in the summer of 2016 in the vicinity of the Kenai National Wildlife Refuge headquarters on Ski Hill Road."
"Festuca altaica",""
"Festuca brachyphylla",""
"Festuca rubra",""
"Festuca saximontana",""
"Fragaria vesca",""
"Fragaria X ananassa",""
"Furcula occidentalis",""
"Galeopsis bifida",""
"Galeopsis tetrahit",""
"Galium trifidum",""
"Galium triflorum",""
"Gentianella amarella",""
"Geocaulon lividum",""
"Gerris buenoi","Specimen collected and determined by Matthew Bowser"
