ID,taxonID,kingdom,phylum,class,order,family,genus,scientificName,taxonRank,vernacularName
986401,986401,Animalia,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Mesenchytraeus,"Mesenchytraeus orcae Eisen, 1904",species,
985968,985968,Animalia,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Mesenchytraeus,"Mesenchytraeus solifugus (Emery, 1898)",species,
745873,745873,Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,Ixodes,"Ixodes angustus Neumann, 1899",species,
660376,660376,Animalia,Arthropoda,Insecta,Hemiptera,Adelgidae,Adelges,"Adelges cooleyi (Gillette, 1907)",species,
654641,654641,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Amphorophora,"Amphorophora agathonica Hottes, 1950",species,
657297,657297,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Boernerina,"Boernerina occidentalis Hille Ris Lambers & Hottes, 1962",species,
654758,654758,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Chaitophorus,"Chaitophorus populifolii (Essig, 1912)",species,
658893,658893,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Nearctaphis,"Nearctaphis kachena (Hottes, 1934)",species,
774019,774019,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Pachypappa,Pachypappa rosettei (Maxson),species,
658242,658242,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Tamalia,Tamalia coweni,species,
658261,658261,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Thecabius,Thecabius affinis,species,
658268,658268,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Thecabius,Thecabius populimonilis,species,
599075,599075,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Hesperinus,Hesperinus brevifrons,species,
641033,641033,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Aphidius,Aphidius ervi,species,
640985,640985,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Aphidius,Aphidius salicis,species,
634629,634629,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Chelonus,Chelonus gracilis,species,
634888,634888,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Ephedrus,Ephedrus incompletus,species,
634886,634886,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Ephedrus,Ephedrus lacertosus,species,
634880,634880,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Ephedrus,Ephedrus plagiator,species,
